=== 2026-09-17T07:05:54-07:00 set on quad with strict runner
 |FPGA |34 |
 |Int Vcc |39 |
 Power : 14.947668 Watts
SHA256SUMS: every file matches
allpaths                   MATCH       7.490 s  
allpaths.levers-7          MATCH       0.528 s  
arnold                     MATCH       0.312 s  
arnold.levers-7            MATCH       0.320 s  
bifurc                     MATCH       0.507 s  
bifurc.levers-7            MATCH       0.308 s  
billiards                  MATCH       0.331 s  
billiards.levers-7         MATCH       0.342 s  
breakdown                  MATCH       0.454 s  
breakdown.levers-7         MATCH       0.296 s  
buddha                     MATCH       0.295 s  
buddha.levers-7            MATCH       0.312 s  
bulb                       MATCH       0.441 s  
bulb.levers-7              MATCH       0.291 s  
cascade                    MATCH       0.349 s  
cascade.levers-7           MATCH       0.329 s  
caustic                    MATCH       0.380 s  
caustic.levers-7           MATCH       0.282 s  
chladni                    MATCH       0.293 s  
chladni.levers-7           MATCH       0.276 s  
collatz                    MATCH       0.409 s  
collatz.levers-7           MATCH       0.319 s  
conoscope                  MATCH       0.285 s  
conoscope.levers-7         MATCH       0.283 s  
critical                   MATCH       0.462 s  
critical.levers-7          MATCH       0.298 s  
cursum                     MATCH       0.324 s  
cursum.levers-7            MATCH       0.303 s  
curves                     MATCH       0.411 s  
curves.levers-7            MATCH       0.286 s  
diffract                   MATCH       0.275 s  
diffract.levers-7          MATCH       0.289 s  
dipole                     MATCH       0.390 s  
dipole.levers-7            MATCH       0.276 s  
dissipation                MATCH       0.278 s  
dissipation.levers-7       MATCH       0.289 s  
domain                     MATCH       0.418 s  
domain.levers-7            MATCH       0.277 s  
drainage                   MATCH       0.296 s  
drainage.levers-7          MATCH       0.289 s  
e8                         MATCH       0.377 s  
e8.levers-7                MATCH       0.290 s  
elliptic                   MATCH       0.292 s  
elliptic.levers-7          MATCH       0.290 s  
flows                      MATCH       1.207 s  
flows.levers-7             MATCH       1.675 s  
ford                       MATCH       0.415 s  
ford.levers-7              MATCH       0.280 s  
gibbs                      MATCH       0.282 s  
gibbs.levers-7             MATCH       0.282 s  
halo                       MATCH       0.397 s  
halo.levers-7              MATCH       0.289 s  
harm                       MATCH       0.284 s  
harm.levers-7              MATCH       0.281 s  
hilbert                    MATCH       0.407 s  
hilbert.levers-7           MATCH       0.309 s  
hopf                       MATCH       0.292 s  
hopf.levers-7              MATCH       0.284 s  
hyper                      MATCH       0.454 s  
hyper.levers-7             MATCH       0.296 s  
ifs                        MATCH       0.285 s  
ifs.levers-7               MATCH       0.295 s  
invjulia                   MATCH       0.478 s  
invjulia.levers-7          MATCH       0.284 s  
jong                       MATCH       0.284 s  
jong.levers-7              MATCH       0.300 s  
kleinian                   MATCH       0.469 s  
kleinian.levers-7          MATCH       0.290 s  
logz                       MATCH       0.272 s  
logz.levers-7              MATCH       0.293 s  
lyap                       MATCH       0.448 s  
lyap.levers-7              MATCH       0.374 s  
mand                       MATCH       0.282 s  
mand.levers-7              MATCH       0.282 s  
mirage                     MATCH       0.350 s  
mirage.levers-7            MATCH       0.282 s  
modmul                     MATCH       0.286 s  
modmul.levers-7            MATCH       0.273 s  
nested                     MATCH       0.463 s  
nested.levers-7            MATCH       0.284 s  
newton                     MATCH       0.288 s  
newton.levers-7            MATCH       0.285 s  
nodal                      MATCH       0.336 s  
nodal.levers-7             MATCH       0.372 s  
nonorient                  MATCH       0.285 s  
nonorient.levers-7         MATCH       0.287 s  
orbital                    MATCH       0.282 s  
orbital.levers-7           MATCH       0.275 s  
penrose                    MATCH       0.295 s  
penrose.levers-7           MATCH       0.285 s  
polytope                   MATCH       0.285 s  
polytope.levers-7          MATCH       0.283 s  
primes                     MATCH       0.284 s  
primes.levers-7            MATCH       0.288 s  
psf                        MATCH       0.274 s  
psf.levers-7               MATCH       0.280 s  
qjulia                     MATCH       0.284 s  
qjulia.levers-7            MATCH       0.289 s  
r8-modulo                  MATCH       0.275 s  
r8-strict                  MISMATCH    0.274 s  status 0x00000000
rainbow                    MATCH       0.277 s  
rainbow.levers-7           MATCH       0.289 s  
relativity                 MATCH       0.365 s  
relativity.levers-7        MATCH       0.368 s  
rmt                        MATCH       0.291 s  
rmt.levers-7               MATCH       0.285 s  
rule30                     MATCH       9.832 s  
rule30.levers-7            MATCH      27.535 s  
rulespace                  MATCH       3.746 s  
rulespace.levers-7         MATCH       3.761 s  
starfield                  MATCH       0.417 s  
starfield.levers-7         MATCH       0.208 s  
stdmap                     MATCH       0.297 s  
stdmap.levers-7            MATCH       0.370 s  
stoch                      MATCH       0.367 s  
stoch.levers-7             MATCH       0.313 s  
swallow                    MATCH       0.206 s  
swallow.levers-7           MATCH       0.207 s  
tangle                     MATCH       0.208 s  
tangle.levers-7            MATCH       0.408 s  
threebody                  MATCH       3.538 s  
threebody.levers-7         MATCH       5.510 s  
throughput                 MATCH       0.448 s  
throughput.levers-7        MATCH       0.228 s  
tpms                       MATCH       0.215 s  
tpms.levers-7              MATCH       0.215 s  
universal                  MATCH       9.335 s  
universal.levers-7         MATCH      11.142 s  
vlsi                       MATCH       0.398 s  
vlsi.levers-7              MATCH       0.228 s  
vortex                     MATCH       0.199 s  
vortex.levers-7            MATCH       0.207 s  
wave                       MATCH       0.203 s  
wave.levers-7              MATCH       0.374 s  
wavecat                    MATCH       0.214 s  
wavecat.levers-7           MATCH       0.230 s  
wpath                      MATCH       0.207 s  
