=== 2026-09-17T07:03:54-07:00 set on single with strict runner
 |FPGA |30 |
 |Int Vcc |40 |
 Power : 20.062708 Watts
SHA256SUMS: every file matches
allpaths                   MATCH       3.831 s  
allpaths.levers-7          MATCH       0.433 s  
arnold                     MATCH       0.203 s  
arnold.levers-7            MATCH       0.193 s  
bifurc                     MATCH       0.195 s  
bifurc.levers-7            MATCH       0.198 s  
billiards                  MATCH       0.368 s  
billiards.levers-7         MATCH       0.237 s  
breakdown                  MATCH       0.175 s  
breakdown.levers-7         MATCH       0.182 s  
buddha                     MATCH       0.171 s  
buddha.levers-7            MATCH       0.176 s  
bulb                       MATCH       0.364 s  
bulb.levers-7              MATCH       0.177 s  
cascade                    MATCH       0.234 s  
cascade.levers-7           MATCH       0.209 s  
caustic                    MATCH       0.162 s  
caustic.levers-7           MATCH       0.159 s  
chladni                    MATCH       0.299 s  
chladni.levers-7           MATCH       0.171 s  
collatz                    MATCH       0.185 s  
collatz.levers-7           MATCH       0.192 s  
conoscope                  MATCH       0.170 s  
conoscope.levers-7         MATCH       0.168 s  
critical                   MATCH       0.182 s  
critical.levers-7          MATCH       0.177 s  
cursum                     MATCH       0.210 s  
cursum.levers-7            MATCH       0.189 s  
curves                     MATCH       0.167 s  
curves.levers-7            MATCH       0.169 s  
diffract                   MATCH       0.205 s  
diffract.levers-7          MATCH       0.166 s  
dipole                     MATCH       0.171 s  
dipole.levers-7            MATCH       0.165 s  
dissipation                MATCH       0.169 s  
dissipation.levers-7       MATCH       0.171 s  
domain                     MATCH       0.175 s  
domain.levers-7            MATCH       0.166 s  
drainage                   MATCH       0.177 s  
drainage.levers-7          MATCH       0.177 s  
e8                         MATCH       0.168 s  
e8.levers-7                MATCH       0.168 s  
elliptic                   MATCH       0.169 s  
elliptic.levers-7          MATCH       0.166 s  
flows                      MATCH       0.997 s  
flows.levers-7             MATCH       1.583 s  
ford                       MATCH       0.306 s  
ford.levers-7              MATCH       0.171 s  
gibbs                      MATCH       0.168 s  
gibbs.levers-7             MATCH       0.168 s  
halo                       MATCH       0.166 s  
halo.levers-7              MATCH       0.168 s  
harm                       MATCH       0.180 s  
harm.levers-7              MATCH       0.165 s  
hilbert                    MATCH       0.184 s  
hilbert.levers-7           MATCH       0.189 s  
hopf                       MATCH       0.163 s  
hopf.levers-7              MATCH       0.169 s  
hyper                      MATCH       0.173 s  
hyper.levers-7             MATCH       0.170 s  
ifs                        MATCH       0.169 s  
ifs.levers-7               MATCH       0.169 s  
invjulia                   MATCH       0.167 s  
invjulia.levers-7          MATCH       0.170 s  
jong                       MATCH       0.176 s  
jong.levers-7              MATCH       0.174 s  
kleinian                   MATCH       0.168 s  
kleinian.levers-7          MATCH       0.169 s  
logz                       MATCH       0.164 s  
logz.levers-7              MATCH       0.170 s  
lyap                       MATCH       0.231 s  
lyap.levers-7              MATCH       0.254 s  
mand                       MATCH       0.164 s  
mand.levers-7              MATCH       0.175 s  
mirage                     MATCH       0.230 s  
mirage.levers-7            MATCH       0.310 s  
modmul                     MATCH       0.171 s  
