=== 2026-09-17T07:42:02-07:00 set on sw with strict runner
 |FPGA |28 |
 |Int Vcc |38 |
 Power : 19.967532 Watts
SHA256SUMS: every file matches
allpaths                   MATCH       2.625 s  
allpaths.levers-7          MATCH       2.564 s  
arnold                     MATCH       4.562 s  
arnold.levers-7            MATCH       4.324 s  
bifurc                     MATCH       3.619 s  
bifurc.levers-7            MATCH       3.644 s  
billiards                  MATCH       2.560 s  
billiards.levers-7         MATCH       3.705 s  
breakdown                  MATCH       0.725 s  
breakdown.levers-7         MATCH       0.893 s  
buddha                     MATCH       0.354 s  
buddha.levers-7            MATCH       0.374 s  
bulb                       MATCH       0.548 s  
bulb.levers-7              MATCH       0.749 s  
cascade                    MATCH       6.444 s  
cascade.levers-7           MATCH       3.691 s  
caustic                    MATCH       0.101 s  
caustic.levers-7           MATCH       0.103 s  
chladni                    MATCH       0.058 s  
chladni.levers-7           MATCH       0.058 s  
collatz                    MATCH       1.524 s  
collatz.levers-7           MATCH       1.575 s  
conoscope                  MATCH       0.258 s  
conoscope.levers-7         MATCH       0.262 s  
critical                   MATCH       1.078 s  
critical.levers-7          MATCH       0.939 s  
cursum                     MATCH       2.765 s  
cursum.levers-7            MATCH       1.845 s  
curves                     MATCH       0.133 s  
curves.levers-7            MATCH       0.133 s  
diffract                   MATCH       0.403 s  
diffract.levers-7          MATCH       0.410 s  
dipole                     MATCH       0.202 s  
dipole.levers-7            MATCH       0.158 s  
dissipation                MATCH       0.481 s  
dissipation.levers-7       MATCH       0.432 s  
domain                     MATCH       0.304 s  
domain.levers-7            MATCH       0.301 s  
drainage                   MATCH       0.964 s  
drainage.levers-7          MATCH       0.906 s  
e8                         MATCH       0.315 s  
e8.levers-7                MATCH       0.415 s  
elliptic                   MATCH       0.574 s  
elliptic.levers-7          MATCH       0.477 s  
flows                      MATCH      55.464 s  
flows.levers-7             MATCH      94.187 s  
ford                       MATCH       0.415 s  
ford.levers-7              MATCH       0.431 s  
gibbs                      MATCH       0.459 s  
gibbs.levers-7             MATCH       0.611 s  
halo                       MATCH       0.362 s  
halo.levers-7              MATCH       0.359 s  
harm                       MATCH       0.088 s  
harm.levers-7              MATCH       0.086 s  
hilbert                    MATCH       2.146 s  
hilbert.levers-7           MATCH       2.781 s  
hopf                       MATCH       0.083 s  
hopf.levers-7              MATCH       0.091 s  
